id,umap1,umap2,T_subtype
8_Patient1_0DPHBP,-1.3750931,2.7797046,Cytotoxic T
33_Patient1_0DPHBP,-2.119789,2.1092443,Cytotoxic T
49_Patient1_0DPHBP,0.1091781,3.833007,gdT
51_Patient1_0DPHBP,1.7720525,-0.5179563,gdT
52_Patient1_0DPHBP,4.447736,1.5495889,Naive/CM T
86_Patient1_0DPHBP,2.4234185,3.8200598,gdT
112_Patient1_0DPHBP,1.7524391,4.737869,Cytotoxic T
124_Patient1_0DPHBP,5.607046,1.7668839,Naive/CM T
126_Patient1_0DPHBP,4.81282,4.0125465,Naive/CM T
127_Patient1_0DPHBP,3.953798,5.0002456,Naive/CM T
139_Patient1_0DPHBP,0.04894319,6.273291,gdT
143_Patient1_0DPHBP,1.6421833,5.834697,gdT
144_Patient1_0DPHBP,1.2289982,5.0085387,gdT
145_Patient1_0DPHBP,4.1561933,-0.21414816,Naive/CM T
152_Patient1_0DPHBP,0.76592,2.8835042,Cytotoxic T
168_Patient1_0DPHBP,6.945981,1.1629012,Naive/CM T
190_Patient1_0DPHBP,0.48372677,3.6978345,gdT
194_Patient1_0DPHBP,2.0625696,5.3779306,Naive/CM T
195_Patient1_0DPHBP,0.8443063,3.3548436,Cytotoxic T
197_Patient1_0DPHBP,4.237685,1.4958987,Naive/CM T
198_Patient1_0DPHBP,6.7199163,1.7633183,Naive/CM T
199_Patient1_0DPHBP,5.500948,3.9412267,Naive/CM T
204_Patient1_0DPHBP,4.57763,-0.18339385,Naive/CM T
215_Patient1_0DPHBP,5.2077866,1.1380268,Naive/CM T
218_Patient1_0DPHBP,3.7773874,5.7948875,Naive/CM T
239_Patient1_0DPHBP,2.147108,2.4540663,Cytotoxic T
243_Patient1_0DPHBP,4.3678966,4.3316164,Naive/CM T
248_Patient1_0DPHBP,4.6545224,3.0890963,Naive/CM T
250_Patient1_0DPHBP,4.1705046,1.7447528,Naive/CM T
260_Patient1_0DPHBP,1.4745535,2.4616387,gdT
261_Patient1_0DPHBP,2.0152378,5.2580357,Treg
262_Patient1_0DPHBP,1.600287,3.6911473,Proliferating T
263_Patient1_0DPHBP,4.847183,2.4731553,Naive/CM T
265_Patient1_0DPHBP,4.1774883,2.2573671,Cytotoxic T
280_Patient1_0DPHBP,3.6289396,3.4520385,Naive/CM T
282_Patient1_0DPHBP,3.5658503,1.958901,Cytotoxic T
283_Patient1_0DPHBP,2.3294566,3.6387424,Cytotoxic T
284_Patient1_0DPHBP,4.6553903,7.2926235,Naive/CM T
285_Patient1_0DPHBP,1.655196,3.593974,Proliferating T
286_Patient1_0DPHBP,7.6471124,3.5828433,Naive/CM T
297_Patient1_0DPHBP,3.9476743,5.411021,Naive/CM T
304_Patient1_0DPHBP,3.9361851,7.628953,Naive/CM T
308_Patient1_0DPHBP,2.2768939,2.8661935,Cytotoxic T
309_Patient1_0DPHBP,2.2920277,5.6559987,Naive/CM T
312_Patient1_0DPHBP,2.247079,2.2259061,Naive/CM T
313_Patient1_0DPHBP,3.3462873,2.4099383,Cytotoxic T
314_Patient1_0DPHBP,2.9711757,4.4802146,Cytotoxic T
316_Patient1_0DPHBP,3.9405015,3.0113916,Naive/CM T
324_Patient1_0DPHBP,4.0701222,6.9900074,Naive/CM T
329_Patient1_0DPHBP,4.475207,3.770852,Naive/CM T
336_Patient1_0DPHBP,5.432283,2.633186,Naive/CM T
341_Patient1_0DPHBP,1.8181158,6.098869,Naive/CM T
342_Patient1_0DPHBP,1.5419352,6.0895176,Naive/CM T
360_Patient1_0DPHBP,4.174983,2.7319548,Naive/CM T
368_Patient1_0DPHBP,1.4153839,3.614115,Proliferating T
370_Patient1_0DPHBP,3.5655513,1.4343684,Cytotoxic T
373_Patient1_0DPHBP,2.9202638,7.9396105,Naive/CM T
374_Patient1_0DPHBP,2.682256,6.88909,Naive/CM T
375_Patient1_0DPHBP,3.3365152,5.773298,Naive/CM T
