T_subtype,Cytotoxicity score
Cytotoxic CD8T,1.80052491764963
Cytotoxic CD8T,1.96837994787428
gdT,0.919601204954547
gdT,1.06226302076269
Naive/CM T,1.09806594436551
gdT,0.527792618598466
Cytotoxic CD8T,1.59130160602522
Naive/CM T,0.0280861103976215
Naive/CM T,-0.10687048052564
Naive/CM T,0.728645760336039
gdT,0.512202822131875
gdT,0.936513235539565
gdT,0.170910186237759
Naive/CM T,1.41332332587536
Cytotoxic CD8T,0.590192435700216
Naive/CM T,0.602556057918219
gdT,1.57613809903462
Naive/CM T,0.277664322911957
Cytotoxic CD8T,1.69455347532107
Naive/CM T,0.314412908789552
Naive/CM T,0.959751214510128
Naive/CM T,-1.20257739226023
Naive/CM T,0.45910162837417
Naive/CM T,0.756538323414178
Naive/CM T,-0.481351091537946
Cytotoxic CD8T,-0.547321325466956
Naive/CM T,-0.920983360137468
Naive/CM T,-0.234251004678231
Naive/CM T,1.132226470076
gdT,0.276738422888296
Treg,0.256032599343194
Proliferating CD8T,0.996943070564741
Naive/CM T,0.454804326281135
Cytotoxic CD8T,0.149113390180799
Naive/CM T,-0.668317710911786
Cytotoxic CD8T,0.627937352215802
Cytotoxic CD8T,-0.231723005388989
Naive/CM T,-0.701280814630014
Proliferating CD8T,0.558040733690615
Naive/CM T,-0.0638871310669699
Naive/CM T,-0.773214960539782
Naive/CM T,-0.635891444153255
Cytotoxic CD8T,0.347449776567058
Naive/CM T,0.588496072792712
Naive/CM T,0.667511168821358
Cytotoxic CD8T,0.379542297787136
Cytotoxic CD8T,-0.106718785968827
Naive/CM T,-0.188270171483357
Naive/CM T,-0.049512524663666
Naive/CM T,-0.352741961125974
Naive/CM T,0.993800469386724
Naive/CM T,0.511227625387686
Naive/CM T,1.07123741691495
Naive/CM T,0.688016982726108
Proliferating CD8T,0.578171456301653
Cytotoxic CD8T,1.41955024519084
Naive/CM T,-0.964359800020853
Naive/CM T,0.380766112127421
Naive/CM T,-0.272557594158031
Naive/CM T,0.0454980061378007
gdT,1.08399383521374
gdT,0.284698080133508
gdT,0.823378280357078
gdT,0.864413261413574
Proliferating CD8T,-0.910588345409911
Cytotoxic CD8T,0.990646880349995
Cytotoxic CD8T,0.664450139175226
Naive/CM T,-0.101034448470598
Naive/CM T,-0.588030229380101
Naive/CM T,-0.660201458283412
Naive/CM T,0.0450361378398942
Naive/CM T,-0.0303055975172252
Naive/CM T,-0.155826727549235
Cytotoxic CD8T,0.275960945788724
Naive/CM T,1.05092855147373
Naive/CM T,-0.477985697028077
Naive/CM T,-0.226920731273698
Cytotoxic CD8T,0.0792847194789367
Naive/CM T,-0.61370367915542
Cytotoxic CD8T,-0.515930071289156
Naive/CM T,0.515367522651766
Cytotoxic CD8T,1.21579667373939
Cytotoxic CD8T,0.115367021089718
Cytotoxic CD8T,0.229735714417916
Cytotoxic CD8T,-0.480658260392554
Naive/CM T,0.0821386266637731
Naive/CM T,-0.282027628686692
Naive/CM T,0.0766934112266257
Naive/CM T,0.162249676975203
Cytotoxic CD8T,0.121886827327586
gdT,0.273865358329113
Naive/CM T,-0.516257467093291
Naive/CM T,0.588911924833132
Naive/CM T,0.361189509615486
Naive/CM T,0.00501754254470632
Naive/CM T,-0.158967745156935
Naive/CM T,-0.885235122692437
Naive/CM T,0.317896180682712
gdT,-0.102745955373034
Cytotoxic CD8T,0.0879507844830735
gdT,-0.223359296351303
Naive/CM T,0.521865610723142
Naive/CM T,0.731393042905831
Naive/CM T,0.288342412607169
Naive/CM T,0.108774535449934
Naive/CM T,1.73575879909374
Naive/CM T,-0.285838014549679
gdT,0.886162077939068
Naive/CM T,0.447306135554372
Naive/CM T,0.115474806891547
Cytotoxic CD8T,0.188638754832891
Cytotoxic CD8T,0.00742441930888615
gdT,0.725917789671156
gdT,0.231666447203836
Naive/CM T,-0.141516619258456
Naive/CM T,-0.375156131791479
Naive/CM T,-0.75387042613677
Treg,-0.346827147919454
gdT,0.456682670263596
Naive/CM T,-0.440315409942909
Naive/CM T,-0.44901880805875
Cytotoxic CD8T,1.04244249838369
gdT,0.120478774294441
Naive/CM T,1.36026383034976
Naive/CM T,0.326165994008382
Cytotoxic CD8T,-0.677137083477444
gdT,0.204834681970101
Naive/CM T,0.359133102275707
Cytotoxic CD8T,0.127992000108883
Naive/CM T,0.808668792983632
gdT,0.546457228837189
Cytotoxic CD8T,0.0202756943526092
Naive/CM T,-1.33402203556932
gdT,0.465848336985081
Naive/CM T,-0.126001316824077
Naive/CM T,-0.159835362140043
Naive/CM T,-0.384799814518587
Cytotoxic CD8T,1.4411920176612
Naive/CM T,0.319050418006049
Proliferating CD8T,0.275577345012146
gdT,-0.400144616762796
Naive/CM T,0.466385529365068
Naive/CM T,0.13198153472241
Naive/CM T,-0.195071163000883
Naive/CM T,0.3151557136465
Proliferating CD8T,0.641281766656004
Naive/CM T,0.365217994760583
Naive/CM T,0.22332908489086
Cytotoxic CD8T,0.423351770565833
Treg,0.0767907272150487
Treg,-0.816466644958213
Naive/CM T,0.737522257698906
Naive/CM T,0.265352615603694
Cytotoxic CD8T,2.01536975083527
Naive/CM T,0.379691536043897
Naive/CM T,0.109699882107016
Naive/CM T,0.371924432707421
Naive/CM T,-0.150388814784862
Naive/CM T,-0.577163787535679
Cytotoxic CD8T,1.09176154784214
Cytotoxic CD8T,0.659502700523093
gdT,0.783544075341872
Cytotoxic CD8T,1.65330108595483
Treg,-0.270133248081913
Naive/CM T,0.940919552320315
Naive/CM T,-0.293129049701455
Naive/CM T,0.445862334451557
Naive/CM T,0.221901855351012
Cytotoxic CD8T,0.804261390073799
gdT,0.67676008189166
gdT,0.063735498322381
Cytotoxic CD8T,0.393161449903323
Naive/CM T,0.300080611382001
Naive/CM T,0.298258013195461
Naive/CM T,0.239599157262731
Naive/CM T,-0.648590906166736
Naive/CM T,-0.400929199324713
Naive/CM T,0.272176030241412
Cytotoxic CD8T,1.86926408167238
Naive/CM T,-0.0803527817314053
Naive/CM T,1.65141266363638
Naive/CM T,1.04104533018889
Naive/CM T,-0.254022395169293
Proliferating CD8T,0.962671017941133
gdT,0.00296123528186176
gdT,0.316038714514838
gdT,0.220900550300692
