T_subtype,Exhaustion score
Cytotoxic CD8T,0.682992184661155
Cytotoxic CD8T,1.72795036848201
gdT,0.158780437735624
gdT,0.852004823906477
Naive/CM T,-0.280720205972361
gdT,-0.401387181836505
Cytotoxic CD8T,0.99374393196993
Naive/CM T,-0.755871470695318
Naive/CM T,0.0737702001527298
Naive/CM T,-0.237042534406795
gdT,-0.677256396981172
gdT,-0.325992122916288
gdT,-0.268083992891533
Naive/CM T,-0.662660200873086
Cytotoxic CD8T,0.349612923555596
Naive/CM T,0.280456949278365
gdT,1.09063771802325
Naive/CM T,0.226697731905205
Cytotoxic CD8T,1.26814284923464
Naive/CM T,-0.11771178134652
Naive/CM T,0.292748081295989
Naive/CM T,-0.401499541526617
Naive/CM T,0.494558302413585
Naive/CM T,0.192872452846793
Naive/CM T,0.229912283254224
Cytotoxic CD8T,0.373597731479378
Naive/CM T,0.191978837833848
Naive/CM T,0.344651964764262
Naive/CM T,-0.258668743399686
gdT,0.420008452659429
Treg,0.338542838872865
Proliferating CD8T,1.46637889063635
Naive/CM T,-0.0537269272915152
Cytotoxic CD8T,0.072649628395258
Naive/CM T,0.258579339315724
Cytotoxic CD8T,0.707156474978424
Cytotoxic CD8T,0.470748780716297
Naive/CM T,-0.27395237057708
Proliferating CD8T,0.910076474921647
Naive/CM T,-0.391872049376021
Naive/CM T,0.129854157913562
Naive/CM T,-0.43723988111629
Cytotoxic CD8T,0.877549062329669
Naive/CM T,0.361838716019031
Naive/CM T,-0.0102634731558868
Cytotoxic CD8T,0.237038634544195
Cytotoxic CD8T,0.555152137224064
Naive/CM T,-0.561979458831077
Naive/CM T,-0.63940009006234
Naive/CM T,-0.44414768307708
Naive/CM T,-0.319007582553597
Naive/CM T,0.099236813922261
Naive/CM T,0.152884407930596
Naive/CM T,-0.153283670114916
Proliferating CD8T,1.38154852578806
Cytotoxic CD8T,0.718739244327988
Naive/CM T,-1.08395351321198
Naive/CM T,-0.117786013581032
Naive/CM T,0.193382309314816
Naive/CM T,0.548251285996548
gdT,0.770474143804505
gdT,-0.789983462843784
gdT,-0.0257962266788926
gdT,0.00500293465547785
Proliferating CD8T,0.198590013370957
Cytotoxic CD8T,0.190758102771847
Cytotoxic CD8T,0.641195632579714
Naive/CM T,-0.374218309979106
Naive/CM T,-0.64818353697311
Naive/CM T,-0.661320978209029
Naive/CM T,-0.224771861586459
Naive/CM T,-0.0786336002793421
Naive/CM T,-0.0686996530932048
Cytotoxic CD8T,-0.00241228325422415
Naive/CM T,0.253927502299464
Naive/CM T,-0.476251153280568
Naive/CM T,-0.0199691630518714
Cytotoxic CD8T,0.806032917111418
Naive/CM T,-0.763737292622411
Cytotoxic CD8T,0.156941272824309
Naive/CM T,0.860245059700899
Cytotoxic CD8T,0.558275306169377
Cytotoxic CD8T,0.037214099972747
Cytotoxic CD8T,0.975487177649209
Cytotoxic CD8T,0.488252151844113
Naive/CM T,-0.301625036195267
Naive/CM T,-0.411603155801462
Naive/CM T,-0.3444873366245
Naive/CM T,-0.479777400881745
Cytotoxic CD8T,0.559526927859284
gdT,0.174671176644258
Naive/CM T,0.177784888688907
Naive/CM T,-0.201694343034611
Naive/CM T,0.917431718693223
Naive/CM T,-0.354526821402616
Naive/CM T,-0.227235405500545
Naive/CM T,-0.281814745525981
Naive/CM T,0.507405207434365
gdT,-0.644191012715184
Cytotoxic CD8T,0.233175907578579
gdT,-0.249871299211368
Naive/CM T,0.271181974189226
Naive/CM T,0.147666065304778
Naive/CM T,-0.119918243053347
Naive/CM T,0.0812314197628996
Naive/CM T,0.582959601823673
Naive/CM T,0.666146163940429
gdT,0.34304905026458
Naive/CM T,-0.939766634564067
Naive/CM T,-1.00974276431771
Cytotoxic CD8T,-0.472844848632812
Cytotoxic CD8T,-0.749634177629337
gdT,0.529763818785201
gdT,-0.80776049680488
Naive/CM T,0.205696304676144
Naive/CM T,-0.378169679863508
Naive/CM T,-0.320829772949218
Treg,0.802151563777479
gdT,-0.0492702963185864
Naive/CM T,-0.350154463302257
Naive/CM T,-0.541966545637263
Cytotoxic CD8T,-0.247967133632926
gdT,-0.537188018089117
Naive/CM T,0.720203413852425
Naive/CM T,0.179450243572856
Cytotoxic CD8T,0.442286132102788
gdT,0.376909293241279
Naive/CM T,0.307665582701217
Cytotoxic CD8T,-0.0425542041867277
Naive/CM T,0.254821076504019
gdT,-0.309327912441519
Cytotoxic CD8T,0.281380742982376
Naive/CM T,-0.780475256276685
gdT,-0.393662073889443
Naive/CM T,-0.0389315937840661
Naive/CM T,-0.696715515491574
Naive/CM T,0.00506452338640062
Cytotoxic CD8T,0.786161555800327
Naive/CM T,-0.0498834583371183
Proliferating CD8T,1.4718218000545
gdT,0.0261338238383448
