T_subtype,TIL dysfunction score
Cytotoxic CD8T,1.14675034461851
Cytotoxic CD8T,1.30110477611496
gdT,-0.470688366906755
gdT,0.605397121598806
Naive/CM T,0.0358469030905812
gdT,0.171106873472615
Cytotoxic CD8T,1.44580815794435
Naive/CM T,-0.401845906804026
Naive/CM T,-0.450243274454838
Naive/CM T,0.359186809612378
gdT,-1.06445616361874
gdT,0.00486858332972039
gdT,-0.641317328237327
Naive/CM T,-0.777406914289607
Cytotoxic CD8T,0.446724776737785
Naive/CM T,1.16688755081101
gdT,1.01952487335312
Naive/CM T,-0.300332414171408
Cytotoxic CD8T,1.57709739744201
Naive/CM T,-0.592024902964747
Naive/CM T,1.26766424736899
Naive/CM T,-0.655499965729555
Naive/CM T,1.6102926887367
Naive/CM T,0.661685916720518
Naive/CM T,0.574721326283622
Cytotoxic CD8T,0.484384972247714
Naive/CM T,0.857086822800101
Naive/CM T,0.954390162225337
Naive/CM T,-0.465073784780468
gdT,1.03031218261933
Treg,0.954938326695168
Proliferating CD8T,1.1287200019089
Naive/CM T,-0.779075188062155
Cytotoxic CD8T,-0.883797663042795
Naive/CM T,-0.101709908881264
Cytotoxic CD8T,-0.236537110057828
Cytotoxic CD8T,0.541854995501721
Naive/CM T,-0.840828827017205
Proliferating CD8T,-0.430143721932
Naive/CM T,-0.809947447007268
Naive/CM T,0.131718675211502
Naive/CM T,-0.8914961703988
Cytotoxic CD8T,1.36628530931103
Naive/CM T,-0.193020569933729
Naive/CM T,-0.143791849298994
Cytotoxic CD8T,-0.177357617190725
Cytotoxic CD8T,1.45398487550763
Naive/CM T,-0.317676948778556
Naive/CM T,-0.246811305577692
Naive/CM T,-0.0302434024716702
Naive/CM T,-0.364785697109015
Naive/CM T,0.693891772592126
Naive/CM T,-0.0178719238969455
Naive/CM T,0.438872871640872
Proliferating CD8T,0.534684523299515
Cytotoxic CD8T,0.742202067896041
Naive/CM T,-1.45146829767744
Naive/CM T,0.599345927006598
Naive/CM T,0.208712207506541
Naive/CM T,1.43825859784911
gdT,0.356370148984708
gdT,-0.749225118111522
gdT,-0.600749058484863
gdT,-0.0954132799198292
Proliferating CD8T,0.957611421365986
Cytotoxic CD8T,-0.306402194995624
Cytotoxic CD8T,0.616887614792547
Naive/CM T,-0.4210701190392
Naive/CM T,-0.579488786532057
Naive/CM T,-0.731360012414675
Naive/CM T,0.535162140064629
Naive/CM T,-0.812722915154766
Naive/CM T,-1.18716347864431
Cytotoxic CD8T,-0.509774655670746
Naive/CM T,-0.563796994382012
Naive/CM T,-1.01787182711815
Naive/CM T,-0.193331935525024
Cytotoxic CD8T,0.429125506916543
