Plot_Type,Plot_ID,Spatial_Domain,Cytotoxic CD8T,Naive/CM T,Proliferating CD8T,Treg,gdT
individual,Patient1_DX,Immune-rich,0.0179744210162461,0.967922571724853,0.00269616315243691,0.000553059108192188,0.0108537849982716
individual,Patient1_DX,Neuroblast-rich,0.0203656560981254,0.822263364961814,0.0023142791020597,0.00416570238370747,0.150890997454293
individual,Patient1_DX,Other,0.0233508464681844,0.9241097489784,0.00233508464681844,0.00116754232340922,0.0490367775831873
individual,Patient1_PT,Immune-rich,0.139747995418098,0.782359679266895,0.0103092783505154,0.0126002290950744,0.0549828178694158
individual,Patient1_PT,Neuroblast-rich,0.11232980332829,0.722012102874432,0.010590015128593,0.0155068078668683,0.139561270801815
individual,Patient1_PT,Other,0.129870129870129,0.801948051948052,0.0113636363636363,0.00162337662337662,0.0551948051948051
individual,Patient3_DX,Immune-rich,0.0,1.0,0.0,0.0,0.0
individual,Patient3_DX,Neuroblast-rich,0.010752688172043,0.935483870967741,0.0,0.0,0.053763440860215
individual,Patient3_DX,Other,0.0,1.0,0.0,0.0,0.0
individual,Patient3_PT,Immune-rich,0.0833333333333333,0.583333333333333,0.0833333333333333,0.0,0.25
individual,Patient3_PT,Neuroblast-rich,0.108433734939759,0.698795180722891,0.036144578313253,0.0,0.156626506024096
individual,Patient3_PT,Other,0.248062015503875,0.708010335917312,0.0193798449612403,0.0,0.024547803617571
individual,Patient4_DX,Immune-rich,0.0201237289340823,0.972765412785323,0.000853302993671336,0.000355542914029723,0.0059020123728934
individual,Patient4_DX,Neuroblast-rich,0.0208072590738423,0.948998748435544,0.00140801001251564,0.00140801001251564,0.0273779724655819
individual,Patient4_DX,Other,0.0703363914373088,0.914373088685015,0.00305810397553516,0.0,0.0122324159021406
individual,Patient4_PT,Immune-rich,0.333333333333333,0.666666666666666,0.0,0.0,0.0
individual,Patient4_PT,Neuroblast-rich,0.105806451612903,0.672258064516129,0.00903225806451613,0.0116129032258064,0.201290322580645
individual,Patient4_PT,Other,0.17059891107078,0.768602540834845,0.00453720508166969,0.00181488203266787,0.0544464609800363
individual,Patient2_DX,Immune-rich,0.522927842187229,0.276518428793909,0.00674857241737324,0.00553729018861394,0.188267866412874
individual,Patient2_DX,Neuroblast-rich,0.334798242109468,0.0744440005326941,0.00769077107471034,0.00918897323212145,0.573878013051005
individual,Patient2_DX,Other,0.413023540201773,0.323448486701314,0.00397431977988382,0.00703148884133292,0.252522164475695
individual,Patient2_PT,Immune-rich,0.751588097626211,0.124122367101303,0.0174690738883316,0.0183884988298228,0.0884319625543296
individual,Patient2_PT,Neuroblast-rich,0.568410574051542,0.044353500718947,0.0304169892710983,0.11547395199646,0.241344983961951
individual,Patient2_PT,Other,0.658881376767055,0.121081745543945,0.0202144369323226,0.0564092057638462,0.143413234992829
individual,Patient5_DX,Immune-rich,0.0181808655559048,0.970868699570365,0.00413915959341926,0.00120507178036256,0.0056062034999476
individual,Patient5_DX,Neuroblast-rich,0.0178117048346055,0.890585241730279,0.0094511086877499,0.0054525627044711,0.0766993820428934
individual,Patient5_DX,Other,0.0284864704133214,0.943502824858757,0.00612548319952423,0.00160570918822479,0.0202795123401724
individual,Patient5_PT,Immune-rich,0.136986301369863,0.863013698630137,0.0,0.0,0.0
individual,Patient5_PT,Neuroblast-rich,0.127118644067796,0.690677966101695,0.0550847457627118,0.00847457627118644,0.11864406779661
individual,Patient5_PT,Other,0.105534709193245,0.833489681050656,0.0356472795497185,0.0,0.0253283302063789
consensus,consensus,Immune-rich,0.281372123317412,0.658373987893029,0.00762432632627519,0.00662818318816888,0.0460013792751143
consensus,consensus,Neuroblast-rich,0.281771092031505,0.30944440502377,0.0106790605265025,0.0250833747250408,0.373022067693181
consensus,consensus,Other,0.280647666027222,0.604754727322554,0.0119895861879967,0.0201653421028592,0.0824426783593678
