label,entry_type,gene,domain_1,domain_2,n_samples_with_both_domains,min_cells_per_domain_rule,obs_mean_delta_d2_minus_d1,median_sample_delta_d2_minus_d1,perm_p_two_sided,inference_tier,qval_bh_global,qval_bh_within_label,stars_within_label
g Clone 2,clone,TCF7,Immune-rich,Neuroblast-rich,3,10,-0.973424971,-0.466527224,0.00029997,sample_level,0.00179982,0.00359964,**
g Clone 2,clone,TCF7,Immune-rich,Other,3,10,-0.763473809,-0.761753321,0.00239976,sample_level,0.00839916,0.018718128,*
g Clone 2,clone,TCF7,Neuroblast-rich,Other,3,10,0.209951207,-0.197863102,0.525747425,sample_level,0.659146026,0.675960975,
g Clone 2,clone,LEF1,Immune-rich,Neuroblast-rich,3,10,-0.809628546,-0.798682511,0.00259974,sample_level,0.008735126,0.018718128,*
g Clone 2,clone,LEF1,Immune-rich,Other,3,10,-0.465130091,-0.435915947,0.04229577,sample_level,0.09602283,0.16810319,
g Clone 2,clone,LEF1,Neuroblast-rich,Other,3,10,0.344498485,0.445047915,0.303669633,sample_level,0.447513143,0.496913945,
g Clone 2,clone,SELL,Immune-rich,Neuroblast-rich,3,10,-1.416851163,-1.475902319,0.0001,sample_level,0.00076356,0.00359964,**
g Clone 2,clone,SELL,Immune-rich,Other,3,10,-0.890917361,-0.900720477,0.00029997,sample_level,0.00179982,0.00359964,**
g Clone 2,clone,SELL,Neuroblast-rich,Other,3,10,0.525933862,0.575181842,0.096290371,sample_level,0.18810212,0.247603811,
g Clone 2,clone,IL7R,Immune-rich,Neuroblast-rich,3,10,-0.771464527,-0.571686506,0.00979902,sample_level,0.03048584,0.050394961,
g Clone 2,clone,IL7R,Immune-rich,Other,3,10,-0.746696532,-0.893599749,0.00549945,sample_level,0.017767454,0.0329967,*
g Clone 2,clone,IL7R,Neuroblast-rich,Other,3,10,0.024767956,0.243253946,0.943005699,sample_level,0.954367214,0.943005699,
g Clone 2,clone,THEMIS,Immune-rich,Neuroblast-rich,3,10,-0.483117729,-0.637782574,0.04669533,sample_level,0.103221257,0.16810319,
g Clone 2,clone,THEMIS,Immune-rich,Other,3,10,-0.462370783,-0.121121168,0.059194081,sample_level,0.127494943,0.185681432,
g Clone 2,clone,THEMIS,Neuroblast-rich,Other,3,10,0.020746946,0.094696522,0.938006199,sample_level,0.954367214,0.943005699,
g Clone 2,clone,FOS,Immune-rich,Neuroblast-rich,3,10,-0.541459024,-0.748558521,0.01459854,sample_level,0.042285427,0.065693431,
g Clone 2,clone,FOS,Immune-rich,Other,3,10,-0.20881699,-0.336265087,0.392060794,sample_level,0.539886995,0.613660373,
g Clone 2,clone,FOS,Neuroblast-rich,Other,3,10,0.332642049,0.412293434,0.245575442,sample_level,0.375060676,0.420986473,
g Clone 2,clone,IFNG,Immune-rich,Neuroblast-rich,3,10,0.304156691,0.193811655,0.061893811,sample_level,0.129977002,0.185681432,
g Clone 2,clone,IFNG,Immune-rich,Other,3,10,-0.055053666,0.088039413,0.757924208,sample_level,0.81622607,0.826826408,
g Clone 2,clone,IFNG,Neuroblast-rich,Other,3,10,-0.359210342,-0.284256577,0.073592641,sample_level,0.150775166,0.203795005,
g Clone 2,clone,KLRD1,Immune-rich,Neuroblast-rich,3,10,0.244698599,0.411273003,0.453154685,sample_level,0.594765523,0.627444948,
g Clone 2,clone,KLRD1,Immune-rich,Other,3,10,0.158662558,0.250900745,0.510848915,sample_level,0.650171347,0.675960975,
g Clone 2,clone,KLRD1,Neuroblast-rich,Other,3,10,-0.086036049,-0.038730145,0.795520448,sample_level,0.83529647,0.842315768,
g Clone 2,clone,GZMH,Immune-rich,Neuroblast-rich,3,10,0.102296807,0.028683901,0.620337966,sample_level,0.741109222,0.761923808,
g Clone 2,clone,GZMH,Immune-rich,Other,3,10,0.319324702,0.357846737,0.162083792,sample_level,0.277857928,0.324167583,
g Clone 2,clone,GZMH,Neuroblast-rich,Other,3,10,0.217027903,0.073824406,0.434456554,sample_level,0.579275406,0.625617438,
g Clone 2,clone,GZMB,Immune-rich,Neuroblast-rich,3,10,0.244654238,0.119510248,0.158684132,sample_level,0.27769723,0.324167583,
g Clone 2,clone,GZMB,Immune-rich,Other,3,10,0.070303902,0.150563791,0.717528247,sample_level,0.795157326,0.807219278,
g Clone 2,clone,GZMB,Neuroblast-rich,Other,3,10,-0.174350336,-0.13412714,0.433056694,sample_level,0.579275406,0.625617438,
g Clone 2,clone,TOX,Immune-rich,Neuroblast-rich,3,10,0.127047896,0.043867826,0.634936506,sample_level,0.741109222,0.761923808,
g Clone 2,clone,TOX,Immune-rich,Other,3,10,-0.295575947,-0.374713778,0.217878212,sample_level,0.348409603,0.392180782,
g Clone 2,clone,TOX,Neuroblast-rich,Other,3,10,-0.422623843,-0.483736992,0.137086291,sample_level,0.255809202,0.308444156,
g Clone 2,clone,LAG3,Immune-rich,Neuroblast-rich,3,10,0.316745192,0.299293995,0.185781422,sample_level,0.312112789,0.352006905,
g Clone 2,clone,LAG3,Immune-rich,Other,3,10,-0.0855783,-0.109783411,0.708629137,sample_level,0.795157326,0.807219278,
g Clone 2,clone,LAG3,Neuroblast-rich,Other,3,10,-0.402323484,-0.510606349,0.115188481,sample_level,0.219905282,0.276452355,
g Clone 17,clone,TCF7,Immune-rich,Neuroblast-rich,1,10,,,,not_tested,,,
g Clone 17,clone,TCF7,Immune-rich,Other,0,10,,,,not_tested,,,
g Clone 17,clone,TCF7,Neuroblast-rich,Other,0,10,,,,not_tested,,,
g Clone 17,clone,LEF1,Immune-rich,Neuroblast-rich,1,10,,,,not_tested,,,
g Clone 17,clone,LEF1,Immune-rich,Other,0,10,,,,not_tested,,,
g Clone 17,clone,LEF1,Neuroblast-rich,Other,0,10,,,,not_tested,,,
g Clone 17,clone,SELL,Immune-rich,Neuroblast-rich,1,10,,,,not_tested,,,
g Clone 17,clone,SELL,Immune-rich,Other,0,10,,,,not_tested,,,
g Clone 17,clone,SELL,Neuroblast-rich,Other,0,10,,,,not_tested,,,
g Clone 17,clone,IL7R,Immune-rich,Neuroblast-rich,1,10,,,,not_tested,,,
g Clone 17,clone,IL7R,Immune-rich,Other,0,10,,,,not_tested,,,
g Clone 17,clone,IL7R,Neuroblast-rich,Other,0,10,,,,not_tested,,,
g Clone 17,clone,THEMIS,Immune-rich,Neuroblast-rich,1,10,,,,not_tested,,,
g Clone 17,clone,THEMIS,Immune-rich,Other,0,10,,,,not_tested,,,
g Clone 17,clone,THEMIS,Neuroblast-rich,Other,0,10,,,,not_tested,,,
g Clone 17,clone,FOS,Immune-rich,Neuroblast-rich,1,10,,,,not_tested,,,
g Clone 17,clone,FOS,Immune-rich,Other,0,10,,,,not_tested,,,
g Clone 17,clone,FOS,Neuroblast-rich,Other,0,10,,,,not_tested,,,
g Clone 17,clone,IFNG,Immune-rich,Neuroblast-rich,1,10,,,,not_tested,,,
g Clone 17,clone,IFNG,Immune-rich,Other,0,10,,,,not_tested,,,
g Clone 17,clone,IFNG,Neuroblast-rich,Other,0,10,,,,not_tested,,,
