id,umap1,umap2,celltype
205_Patient1_0DPHBP,9.158831,0.78354496,B
455_Patient1_0DPHBP,9.097736,0.9302446,B
803_Patient1_0DPHBP,9.6577835,0.6598302,B
804_Patient1_0DPHBP,9.280222,-0.26072294,B
1170_Patient1_0DPHBP,9.771888,-0.7411277,B
1453_Patient1_0DPHBP,9.197672,-1.0006299,B
1512_Patient1_0DPHBP,8.448469,-0.79647756,B
1533_Patient1_0DPHBP,10.051742,1.6108295,B
1733_Patient1_0DPHBP,10.1656065,-0.5344732,B
2037_Patient1_0DPHBP,10.691775,1.3172853,B
2088_Patient1_0DPHBP,10.09746,-0.957065,B
2146_Patient1_0DPHBP,9.797779,0.0033356014,B
2296_Patient1_0DPHBP,9.695817,-0.40601978,B
2657_Patient1_0DPHBP,8.83151,1.3395369,B
2917_Patient1_0DPHBP,9.766116,-0.4319257,B
5473_Patient1_0DPHBP,7.154419,1.0909886,B
7074_Patient1_0DPHBP,9.511978,0.9697261,B
7705_Patient1_0DPHBP,8.833659,0.77611715,B
8919_Patient1_0DPHBP,8.855042,2.11053,B
9038_Patient1_0DPHBP,9.705384,0.7809039,B
9188_Patient1_0DPHBP,7.8302174,1.7168498,B
9284_Patient1_0DPHBP,9.259935,0.71029365,B
9314_Patient1_0DPHBP,8.78824,0.86477506,B
9330_Patient1_0DPHBP,7.3181243,1.3871506,B
9348_Patient1_0DPHBP,10.172279,-0.47660586,B
9370_Patient1_0DPHBP,8.756911,-0.27392936,B
9373_Patient1_0DPHBP,9.597724,0.10128893,B
9403_Patient1_0DPHBP,10.036977,0.37668616,B
9414_Patient1_0DPHBP,10.002871,0.5419033,B
9451_Patient1_0DPHBP,9.678549,0.929705,B
9698_Patient1_0DPHBP,9.2503395,-0.5269335,B
9724_Patient1_0DPHBP,10.24296,1.291049,B
9741_Patient1_0DPHBP,9.574024,0.15378866,B
9742_Patient1_0DPHBP,9.338811,-0.115871064,B
9796_Patient1_0DPHBP,8.222836,-0.9134437,B
10019_Patient1_0DPHBP,9.06739,0.9466266,B
11587_Patient1_0DPHBP,9.424261,1.0013787,B
11589_Patient1_0DPHBP,10.180642,0.5677669,B
12681_Patient1_0DPHBP,10.431774,0.37995434,B
12683_Patient1_0DPHBP,9.988061,1.4100441,B
14242_Patient1_0DPHBP,9.750804,1.4968818,B
14802_Patient1_0DPHBP,10.452199,0.5167095,B
14923_Patient1_0DPHBP,8.97063,-0.20584768,B
15134_Patient1_0DPHBP,8.13488,-1.1605061,B
15262_Patient1_0DPHBP,9.962764,1.8391539,B
15277_Patient1_0DPHBP,8.81035,2.223595,B
16211_Patient1_0DPHBP,9.899093,-0.7467755,B
16212_Patient1_0DPHBP,10.012678,-0.79848593,B
16214_Patient1_0DPHBP,9.602571,-0.1060778,B
17265_Patient1_0DPHBP,9.393355,0.97415435,B
17782_Patient1_0DPHBP,10.457242,1.9181412,B
17784_Patient1_0DPHBP,8.667596,-0.20488085,B
17860_Patient1_0DPHBP,10.007238,0.92678946,B
17900_Patient1_0DPHBP,10.535021,1.7759103,B
18221_Patient1_0DPHBP,9.8763,-0.73642695,B
18660_Patient1_0DPHBP,9.657593,0.7813255,B
18863_Patient1_0DPHBP,8.223609,-0.431332,B
18924_Patient1_0DPHBP,8.672883,1.4971186,B
19162_Patient1_0DPHBP,7.2169647,0.45681038,B
19261_Patient1_0DPHBP,9.468061,2.3474827,B
19286_Patient1_0DPHBP,10.071747,0.100017026,B
19290_Patient1_0DPHBP,9.517838,0.4830682,B
20245_Patient1_0DPHBP,10.13248,0.6687134,B
20433_Patient1_0DPHBP,9.876845,-0.48609492,B
21613_Patient1_0DPHBP,10.136311,0.49369928,B
21624_Patient1_0DPHBP,1.3137664,5.15091,B
21632_Patient1_0DPHBP,9.511018,1.7981396,B
21644_Patient1_0DPHBP,9.759446,0.61937016,B
21646_Patient1_0DPHBP,9.696871,0.94917464,B
21647_Patient1_0DPHBP,9.163521,1.3506551,B
21648_Patient1_0DPHBP,10.285574,1.6608073,B
21655_Patient1_0DPHBP,9.296155,2.1660404,B
21659_Patient1_0DPHBP,10.417553,1.679633,B
21672_Patient1_0DPHBP,9.690344,0.81353796,B
21715_Patient1_0DPHBP,10.578263,0.91256493,B
21719_Patient1_0DPHBP,9.987486,2.0854363,B
21720_Patient1_0DPHBP,9.608551,1.4245332,B
21721_Patient1_0DPHBP,9.8650255,1.3798143,B
21725_Patient1_0DPHBP,9.3232565,-0.03388831,B
22316_Patient1_0DPHBP,1.5035609,6.5281715,B
22779_Patient1_0DPHBP,7.981343,-1.2654169,B
23359_Patient1_0DPHBP,10.234783,-1.6902415,B
23981_Patient1_0DPHBP,9.793332,0.04197232,B
24694_Patient1_0DPHBP,8.308099,-1.0217409,B
25275_Patient1_0DPHBP,9.610679,-0.9944407,B
25282_Patient1_0DPHBP,9.936516,-0.1711314,B
25357_Patient1_0DPHBP,10.41015,1.6496439,B
25967_Patient1_0DPHBP,10.386313,1.3624535,B
26536_Patient1_0DPHBP,9.786308,-0.45938092,B
27403_Patient1_0DPHBP,10.082427,-0.2177908,B
27529_Patient1_0DPHBP,9.612743,0.6393207,B
27532_Patient1_0DPHBP,9.097555,1.1011277,B
27688_Patient1_0DPHBP,10.234285,-1.3733957,B
27828_Patient1_0DPHBP,9.545411,1.5753422,B
28728_Patient1_0DPHBP,10.05168,-0.785895,B
28772_Patient1_0DPHBP,9.425513,0.29210055,B
29117_Patient1_0DPHBP,10.548312,1.112426,B
29118_Patient1_0DPHBP,9.793679,1.3175023,B
29372_Patient1_0DPHBP,9.890218,1.8886217,B
29814_Patient1_0DPHBP,7.7536964,0.7226248,B
30003_Patient1_0DPHBP,9.53725,-0.9066872,B
30119_Patient1_0DPHBP,9.509465,2.4286616,B
31155_Patient1_0DPHBP,9.584201,2.1713316,B
31521_Patient1_0DPHBP,9.219231,-0.4358343,B
32090_Patient1_0DPHBP,9.529278,0.97975194,B
32122_Patient1_0DPHBP,10.511071,0.996732,B
32123_Patient1_0DPHBP,9.695246,0.03642843,B
32182_Patient1_0DPHBP,9.593548,0.9982979,B
32320_Patient1_0DPHBP,9.547361,0.119058214,B
32374_Patient1_0DPHBP,8.821611,1.1087309,B
33091_Patient1_0DPHBP,8.241426,1.5657942,B
33097_Patient1_0DPHBP,8.644522,-0.27417916,B
33312_Patient1_0DPHBP,9.041902,1.1938055,B
33350_Patient1_0DPHBP,9.230033,1.0802346,B
33368_Patient1_0DPHBP,10.416152,0.9287837,B
33901_Patient1_0DPHBP,9.544815,-0.8341086,B
33913_Patient1_0DPHBP,9.4965315,0.3886623,B
34261_Patient1_0DPHBP,9.970967,-0.6491973,B
34287_Patient1_0DPHBP,9.505666,0.48108727,B
34302_Patient1_0DPHBP,9.619998,1.7663286,B
34315_Patient1_0DPHBP,9.318282,2.8179169,B
34530_Patient1_0DPHBP,9.197536,2.1315258,B
34532_Patient1_0DPHBP,9.7905035,0.34004167,B
34939_Patient1_0DPHBP,9.605461,1.3154178,B
35445_Patient1_0DPHBP,7.3590984,-0.86720693,B
36153_Patient1_0DPHBP,9.624521,0.57271814,B
36198_Patient1_0DPHBP,7.4582705,1.1762736,B
36298_Patient1_0DPHBP,8.696536,-1.3849862,B
37024_Patient1_0DPHBP,10.642201,1.1646894,B
37377_Patient1_0DPHBP,9.846287,-0.10711247,B
37378_Patient1_0DPHBP,9.9406185,0.09640055,B
42639_Patient1_0DPHBP,10.283357,0.7245142,B
43667_Patient1_0DPHBP,9.022559,0.6714486,B
43827_Patient1_0DPHBP,9.872402,0.82442534,B
43834_Patient1_0DPHBP,10.304694,1.3375543,B
43835_Patient1_0DPHBP,8.415586,-1.0884837,B
43887_Patient1_0DPHBP,8.238102,-0.4366248,B
43888_Patient1_0DPHBP,10.782068,1.4255369,B
43919_Patient1_0DPHBP,10.36416,1.2924465,B
43921_Patient1_0DPHBP,10.2394905,1.4102824,B
43969_Patient1_0DPHBP,10.602476,1.5470792,B
43979_Patient1_0DPHBP,10.537733,1.6139742,B
