id,umap1,umap2,celltype
12_Patient1_0DPHBP,9.406076,7.5984244,Endothelial
46_Patient1_0DPHBP,9.95724,6.965708,Endothelial
65_Patient1_0DPHBP,9.573525,8.695089,Endothelial
69_Patient1_0DPHBP,8.999652,5.2144213,Endothelial
76_Patient1_0DPHBP,10.055757,5.993527,Endothelial
148_Patient1_0DPHBP,9.14123,6.9316154,Endothelial
196_Patient1_0DPHBP,9.769031,8.811789,Endothelial
224_Patient1_0DPHBP,7.3422723,6.772087,Endothelial
277_Patient1_0DPHBP,9.944974,6.217692,Endothelial
279_Patient1_0DPHBP,10.277872,6.565922,Endothelial
319_Patient1_0DPHBP,9.363557,7.582722,Endothelial
320_Patient1_0DPHBP,10.418777,6.2926526,Endothelial
321_Patient1_0DPHBP,10.280415,5.975824,Endothelial
322_Patient1_0DPHBP,10.140569,6.237165,Endothelial
380_Patient1_0DPHBP,10.037188,5.802295,Endothelial
420_Patient1_0DPHBP,10.204786,6.5435734,Endothelial
433_Patient1_0DPHBP,10.11064,2.7517705,Endothelial
437_Patient1_0DPHBP,9.342181,6.8989377,Endothelial
472_Patient1_0DPHBP,9.720439,6.8472476,Endothelial
486_Patient1_0DPHBP,9.082205,6.0835295,Endothelial
527_Patient1_0DPHBP,9.16357,8.437013,Endothelial
537_Patient1_0DPHBP,8.594395,6.7934284,Endothelial
571_Patient1_0DPHBP,9.386173,8.683945,Endothelial
576_Patient1_0DPHBP,8.927533,8.397706,Endothelial
587_Patient1_0DPHBP,10.433492,6.6212864,Endothelial
665_Patient1_0DPHBP,10.269113,6.004816,Endothelial
693_Patient1_0DPHBP,8.476133,7.9924498,Endothelial
716_Patient1_0DPHBP,9.977587,6.2406006,Endothelial
725_Patient1_0DPHBP,9.623454,6.610424,Endothelial
763_Patient1_0DPHBP,9.153037,7.5401287,Endothelial
784_Patient1_0DPHBP,9.415616,6.3346515,Endothelial
1037_Patient1_0DPHBP,9.21676,7.2635937,Endothelial
1062_Patient1_0DPHBP,9.171492,7.028362,Endothelial
1064_Patient1_0DPHBP,10.531015,5.957279,Endothelial
1089_Patient1_0DPHBP,9.794312,7.4460025,Endothelial
1097_Patient1_0DPHBP,10.182848,6.533027,Endothelial
1103_Patient1_0DPHBP,10.0478115,6.526408,Endothelial
1113_Patient1_0DPHBP,10.399661,2.0269914,Endothelial
1154_Patient1_0DPHBP,8.014299,3.0370626,Endothelial
1205_Patient1_0DPHBP,9.487554,8.221729,Endothelial
1252_Patient1_0DPHBP,8.695273,7.942635,Endothelial
1338_Patient1_0DPHBP,9.648759,8.913167,Endothelial
1339_Patient1_0DPHBP,9.645227,7.6975136,Endothelial
1534_Patient1_0DPHBP,10.2575245,7.612145,Endothelial
1634_Patient1_0DPHBP,9.977715,6.3041954,Endothelial
1637_Patient1_0DPHBP,10.258557,7.483783,Endothelial
1642_Patient1_0DPHBP,7.2486696,6.9366636,Endothelial
1648_Patient1_0DPHBP,10.517542,6.85148,Endothelial
1656_Patient1_0DPHBP,10.171228,7.4593954,Endothelial
1675_Patient1_0DPHBP,8.991691,7.6697464,Endothelial
1682_Patient1_0DPHBP,9.77033,1.8179992,Endothelial
1781_Patient1_0DPHBP,9.921165,8.091048,Endothelial
1793_Patient1_0DPHBP,9.531324,6.973675,Endothelial
1796_Patient1_0DPHBP,10.362301,5.9962153,Endothelial
1866_Patient1_0DPHBP,10.834163,1.5444136,Endothelial
1874_Patient1_0DPHBP,9.742463,8.071263,Endothelial
1893_Patient1_0DPHBP,9.393207,8.542152,Endothelial
1894_Patient1_0DPHBP,9.642622,6.592789,Endothelial
1918_Patient1_0DPHBP,10.345688,7.4033012,Endothelial
1997_Patient1_0DPHBP,8.992712,8.029523,Endothelial
2032_Patient1_0DPHBP,10.651063,3.4225996,Endothelial
2102_Patient1_0DPHBP,9.436463,8.177743,Endothelial
2184_Patient1_0DPHBP,10.065312,6.2953477,Endothelial
2204_Patient1_0DPHBP,10.405758,6.035768,Endothelial
2254_Patient1_0DPHBP,10.132331,7.4536905,Endothelial
2255_Patient1_0DPHBP,10.293558,7.4998856,Endothelial
2261_Patient1_0DPHBP,9.330718,8.564007,Endothelial
2264_Patient1_0DPHBP,10.080252,6.404006,Endothelial
2311_Patient1_0DPHBP,9.335143,8.685087,Endothelial
2312_Patient1_0DPHBP,10.275836,7.793802,Endothelial
2329_Patient1_0DPHBP,9.480731,8.73408,Endothelial
2330_Patient1_0DPHBP,9.384305,8.519947,Endothelial
2337_Patient1_0DPHBP,9.243544,6.5968943,Endothelial
2340_Patient1_0DPHBP,10.1518,7.811247,Endothelial
2400_Patient1_0DPHBP,9.003596,8.563953,Endothelial
2434_Patient1_0DPHBP,10.040397,6.1560545,Endothelial
2451_Patient1_0DPHBP,10.27346,7.554092,Endothelial
2457_Patient1_0DPHBP,10.017667,6.6343822,Endothelial
2570_Patient1_0DPHBP,9.339318,6.5370145,Endothelial
2605_Patient1_0DPHBP,9.435458,8.347901,Endothelial
2610_Patient1_0DPHBP,10.736459,1.4226633,Endothelial
2638_Patient1_0DPHBP,9.709589,6.312829,Endothelial
2644_Patient1_0DPHBP,9.42485,6.3060985,Endothelial
2645_Patient1_0DPHBP,9.36053,6.7266407,Endothelial
2709_Patient1_0DPHBP,8.325531,6.5107903,Endothelial
2711_Patient1_0DPHBP,9.133003,6.6311812,Endothelial
2760_Patient1_0DPHBP,9.447842,5.9282794,Endothelial
2762_Patient1_0DPHBP,9.321756,6.825098,Endothelial
2766_Patient1_0DPHBP,9.415071,6.527289,Endothelial
2779_Patient1_0DPHBP,9.117721,4.996766,Endothelial
2801_Patient1_0DPHBP,9.097141,7.0893297,Endothelial
2834_Patient1_0DPHBP,10.032367,7.893974,Endothelial
2838_Patient1_0DPHBP,10.007064,6.695414,Endothelial
2842_Patient1_0DPHBP,9.168953,8.579004,Endothelial
2860_Patient1_0DPHBP,9.821685,8.545697,Endothelial
2886_Patient1_0DPHBP,10.167143,6.6213317,Endothelial
2973_Patient1_0DPHBP,9.010746,8.179036,Endothelial
2983_Patient1_0DPHBP,9.422287,7.6908674,Endothelial
3349_Patient1_0DPHBP,8.533532,7.7965674,Endothelial
3400_Patient1_0DPHBP,9.858307,5.8030324,Endothelial
3401_Patient1_0DPHBP,9.596963,7.988993,Endothelial
3528_Patient1_0DPHBP,10.189326,7.455767,Endothelial
3529_Patient1_0DPHBP,9.534911,7.7155366,Endothelial
3539_Patient1_0DPHBP,8.014764,7.4637113,Endothelial
3604_Patient1_0DPHBP,7.482346,7.2617054,Endothelial
3731_Patient1_0DPHBP,9.229265,8.541471,Endothelial
3732_Patient1_0DPHBP,8.437087,7.3650217,Endothelial
3733_Patient1_0DPHBP,9.902626,7.8322873,Endothelial
3734_Patient1_0DPHBP,7.8888474,7.2865305,Endothelial
3763_Patient1_0DPHBP,10.018546,7.4176903,Endothelial
3764_Patient1_0DPHBP,9.57364,7.0608025,Endothelial
3766_Patient1_0DPHBP,10.376395,6.8071923,Endothelial
4158_Patient1_0DPHBP,10.400413,6.767317,Endothelial
4172_Patient1_0DPHBP,9.670375,6.9575114,Endothelial
4175_Patient1_0DPHBP,10.299917,5.4514284,Endothelial
4331_Patient1_0DPHBP,9.696511,6.6007633,Endothelial
4334_Patient1_0DPHBP,9.489731,6.804969,Endothelial
4368_Patient1_0DPHBP,9.613276,6.542764,Endothelial
4448_Patient1_0DPHBP,10.321462,6.09914,Endothelial
4503_Patient1_0DPHBP,10.79499,5.32852,Endothelial
4509_Patient1_0DPHBP,10.735499,6.449624,Endothelial
4630_Patient1_0DPHBP,9.920866,8.078552,Endothelial
4631_Patient1_0DPHBP,9.252034,8.288372,Endothelial
4634_Patient1_0DPHBP,9.3805275,6.967979,Endothelial
4722_Patient1_0DPHBP,9.682013,5.3148065,Endothelial
4742_Patient1_0DPHBP,9.735243,6.4814997,Endothelial
4743_Patient1_0DPHBP,9.511897,8.513986,Endothelial
4744_Patient1_0DPHBP,8.915729,8.194743,Endothelial
4758_Patient1_0DPHBP,7.9299073,7.2767487,Endothelial
4759_Patient1_0DPHBP,8.80875,7.5566463,Endothelial
4852_Patient1_0DPHBP,10.032775,8.049778,Endothelial
4898_Patient1_0DPHBP,10.373286,6.0642076,Endothelial
4901_Patient1_0DPHBP,10.452966,7.0722723,Endothelial
4944_Patient1_0DPHBP,9.7635145,7.9010806,Endothelial
4946_Patient1_0DPHBP,10.042413,6.1848326,Endothelial
4951_Patient1_0DPHBP,10.449966,7.1179514,Endothelial
4952_Patient1_0DPHBP,7.723148,6.850976,Endothelial
