id,umap1,umap2,celltype
67_Patient1_0DPHBP,10.697413,3.9910092,Fibroblast
73_Patient1_0DPHBP,10.975219,5.432406,Fibroblast
92_Patient1_0DPHBP,9.779433,4.129988,Fibroblast
104_Patient1_0DPHBP,9.98509,3.5574296,Fibroblast
133_Patient1_0DPHBP,11.57967,4.1399164,Fibroblast
165_Patient1_0DPHBP,11.51592,5.1870666,Fibroblast
167_Patient1_0DPHBP,10.5882015,3.5589917,Fibroblast
169_Patient1_0DPHBP,11.514807,4.513553,Fibroblast
174_Patient1_0DPHBP,10.6494255,4.9371567,Fibroblast
175_Patient1_0DPHBP,7.990675,4.584451,Fibroblast
180_Patient1_0DPHBP,10.087957,5.2485514,Fibroblast
181_Patient1_0DPHBP,7.9392343,4.9463763,Fibroblast
255_Patient1_0DPHBP,10.683455,5.056448,Fibroblast
268_Patient1_0DPHBP,10.444538,5.407999,Fibroblast
325_Patient1_0DPHBP,11.631061,3.7150671,Fibroblast
330_Patient1_0DPHBP,9.845502,4.7030826,Fibroblast
331_Patient1_0DPHBP,10.40575,5.308935,Fibroblast
366_Patient1_0DPHBP,10.920906,5.4396753,Fibroblast
383_Patient1_0DPHBP,11.461023,4.720197,Fibroblast
409_Patient1_0DPHBP,9.003561,5.447511,Fibroblast
459_Patient1_0DPHBP,10.745467,3.009579,Fibroblast
476_Patient1_0DPHBP,8.180279,5.032338,Fibroblast
522_Patient1_0DPHBP,9.446287,5.179403,Fibroblast
526_Patient1_0DPHBP,11.241505,3.4001415,Fibroblast
656_Patient1_0DPHBP,11.628185,4.6504636,Fibroblast
772_Patient1_0DPHBP,11.333995,4.7987423,Fibroblast
817_Patient1_0DPHBP,10.26245,5.3424263,Fibroblast
977_Patient1_0DPHBP,10.446187,2.1208885,Fibroblast
996_Patient1_0DPHBP,8.170451,2.8561106,Fibroblast
1124_Patient1_0DPHBP,11.023282,4.0004444,Fibroblast
1311_Patient1_0DPHBP,8.603779,3.4147542,Fibroblast
1319_Patient1_0DPHBP,11.497239,4.7134767,Fibroblast
1423_Patient1_0DPHBP,11.490575,4.9836817,Fibroblast
1433_Patient1_0DPHBP,11.059693,4.604934,Fibroblast
1440_Patient1_0DPHBP,11.600109,4.5604124,Fibroblast
1446_Patient1_0DPHBP,10.690799,4.1305027,Fibroblast
1698_Patient1_0DPHBP,11.521173,3.1592047,Fibroblast
1703_Patient1_0DPHBP,8.676081,5.1012135,Fibroblast
1709_Patient1_0DPHBP,11.200334,4.4514513,Fibroblast
1746_Patient1_0DPHBP,11.032726,4.1956925,Fibroblast
1754_Patient1_0DPHBP,9.374942,4.620961,Fibroblast
1875_Patient1_0DPHBP,10.134084,5.108452,Fibroblast
1919_Patient1_0DPHBP,10.763842,5.11177,Fibroblast
1925_Patient1_0DPHBP,11.202219,4.9166975,Fibroblast
1935_Patient1_0DPHBP,8.408104,3.4976275,Fibroblast
1938_Patient1_0DPHBP,11.007783,3.9401987,Fibroblast
1940_Patient1_0DPHBP,10.022012,3.0723078,Fibroblast
1988_Patient1_0DPHBP,9.256592,2.9492798,Fibroblast
2013_Patient1_0DPHBP,11.2346325,3.7714868,Fibroblast
2035_Patient1_0DPHBP,10.38849,3.2171934,Fibroblast
2077_Patient1_0DPHBP,10.4887295,3.0623662,Fibroblast
2096_Patient1_0DPHBP,9.327124,4.7502804,Fibroblast
2098_Patient1_0DPHBP,11.569038,3.8951912,Fibroblast
2099_Patient1_0DPHBP,10.302231,2.4664526,Fibroblast
2187_Patient1_0DPHBP,10.494892,4.8223696,Fibroblast
2206_Patient1_0DPHBP,10.994259,4.7092786,Fibroblast
2221_Patient1_0DPHBP,11.013991,5.2778273,Fibroblast
2226_Patient1_0DPHBP,10.596188,3.9168675,Fibroblast
2305_Patient1_0DPHBP,11.203028,3.6355822,Fibroblast
2308_Patient1_0DPHBP,11.0550375,3.865706,Fibroblast
2318_Patient1_0DPHBP,9.873962,4.40026,Fibroblast
2375_Patient1_0DPHBP,10.049546,3.689891,Fibroblast
2430_Patient1_0DPHBP,9.396688,5.1683125,Fibroblast
2431_Patient1_0DPHBP,10.7829895,4.327265,Fibroblast
2469_Patient1_0DPHBP,10.957794,5.009628,Fibroblast
2486_Patient1_0DPHBP,9.284036,3.6529396,Fibroblast
2608_Patient1_0DPHBP,11.347682,4.299509,Fibroblast
2611_Patient1_0DPHBP,10.741094,4.984769,Fibroblast
2616_Patient1_0DPHBP,11.182134,4.573085,Fibroblast
2618_Patient1_0DPHBP,10.917276,4.264158,Fibroblast
2619_Patient1_0DPHBP,11.388011,4.7252665,Fibroblast
2631_Patient1_0DPHBP,10.998749,4.1635094,Fibroblast
2633_Patient1_0DPHBP,11.394343,5.01169,Fibroblast
2654_Patient1_0DPHBP,10.711034,5.0545273,Fibroblast
2803_Patient1_0DPHBP,9.634669,3.806498,Fibroblast
2811_Patient1_0DPHBP,10.013955,3.9587836,Fibroblast
2816_Patient1_0DPHBP,11.402051,3.452363,Fibroblast
2839_Patient1_0DPHBP,11.005688,4.2637377,Fibroblast
2863_Patient1_0DPHBP,8.902273,5.131863,Fibroblast
2876_Patient1_0DPHBP,11.114373,5.2027764,Fibroblast
2978_Patient1_0DPHBP,11.133741,3.751467,Fibroblast
3009_Patient1_0DPHBP,7.615152,2.8156676,Fibroblast
3113_Patient1_0DPHBP,5.7028484,3.8822494,Fibroblast
3115_Patient1_0DPHBP,9.177271,3.533416,Fibroblast
3116_Patient1_0DPHBP,9.719441,3.8486955,Fibroblast
3126_Patient1_0DPHBP,8.605308,5.1356053,Fibroblast
3398_Patient1_0DPHBP,10.076885,5.274145,Fibroblast
3402_Patient1_0DPHBP,10.62256,4.423007,Fibroblast
3579_Patient1_0DPHBP,11.22307,4.7845135,Fibroblast
3637_Patient1_0DPHBP,9.054308,5.146646,Fibroblast
3762_Patient1_0DPHBP,9.455066,5.001134,Fibroblast
3829_Patient1_0DPHBP,8.91124,2.9532998,Fibroblast
3980_Patient1_0DPHBP,9.326314,5.132669,Fibroblast
4069_Patient1_0DPHBP,8.760157,4.6115212,Fibroblast
4176_Patient1_0DPHBP,10.881841,5.3736496,Fibroblast
4215_Patient1_0DPHBP,9.839584,3.9653995,Fibroblast
4341_Patient1_0DPHBP,11.580569,5.125519,Fibroblast
4357_Patient1_0DPHBP,8.599772,5.145841,Fibroblast
4402_Patient1_0DPHBP,9.363312,5.0033092,Fibroblast
4435_Patient1_0DPHBP,11.499008,3.7543912,Fibroblast
4470_Patient1_0DPHBP,8.458259,5.0429864,Fibroblast
4519_Patient1_0DPHBP,11.172088,4.996384,Fibroblast
4654_Patient1_0DPHBP,8.246447,5.054391,Fibroblast
4655_Patient1_0DPHBP,10.73344,4.2295775,Fibroblast
4677_Patient1_0DPHBP,10.358133,5.0941515,Fibroblast
4729_Patient1_0DPHBP,9.938282,5.16469,Fibroblast
4749_Patient1_0DPHBP,10.7509165,5.1250196,Fibroblast
4804_Patient1_0DPHBP,11.593347,3.8005128,Fibroblast
4837_Patient1_0DPHBP,11.162457,5.1841474,Fibroblast
4838_Patient1_0DPHBP,11.291672,5.212428,Fibroblast
4870_Patient1_0DPHBP,10.702737,5.583458,Fibroblast
4872_Patient1_0DPHBP,9.852594,4.750757,Fibroblast
4927_Patient1_0DPHBP,9.948732,5.271817,Fibroblast
4966_Patient1_0DPHBP,8.968639,4.963342,Fibroblast
4970_Patient1_0DPHBP,10.402916,4.6083097,Fibroblast
5024_Patient1_0DPHBP,10.669528,4.670443,Fibroblast
5070_Patient1_0DPHBP,10.111752,3.9827547,Fibroblast
5095_Patient1_0DPHBP,10.651176,4.7189517,Fibroblast
5151_Patient1_0DPHBP,11.433045,4.450201,Fibroblast
5161_Patient1_0DPHBP,10.434126,3.95963,Fibroblast
