id,umap1,umap2,celltype
5_Patient1_0DPHBP,12.691479,-1.1474582,Macrophage
6_Patient1_0DPHBP,11.86033,-1.4228489,Macrophage
7_Patient1_0DPHBP,11.949119,-1.8180064,Macrophage
21_Patient1_0DPHBP,9.469945,-2.756594,Macrophage
36_Patient1_0DPHBP,11.55228,-0.821774,Macrophage
40_Patient1_0DPHBP,11.397126,-2.1987035,Macrophage
45_Patient1_0DPHBP,12.310882,-0.65899307,Macrophage
47_Patient1_0DPHBP,12.198975,-0.81095606,Macrophage
59_Patient1_0DPHBP,11.834219,-1.9386898,Macrophage
66_Patient1_0DPHBP,12.19022,-0.20155635,Macrophage
101_Patient1_0DPHBP,11.475601,-1.0597132,Macrophage
103_Patient1_0DPHBP,10.367126,-1.1118481,Macrophage
107_Patient1_0DPHBP,12.4824,-0.843435,Macrophage
131_Patient1_0DPHBP,12.511289,-0.8083048,Macrophage
132_Patient1_0DPHBP,11.109906,0.18554287,Macrophage
134_Patient1_0DPHBP,11.627419,2.6627939,Macrophage
140_Patient1_0DPHBP,12.348436,-1.1304963,Macrophage
171_Patient1_0DPHBP,11.5563545,-1.5987028,Macrophage
183_Patient1_0DPHBP,12.042608,-1.1533881,Macrophage
184_Patient1_0DPHBP,12.291294,-0.7294168,Macrophage
185_Patient1_0DPHBP,12.451852,-1.1248211,Macrophage
187_Patient1_0DPHBP,1.2473809,4.149173,Macrophage
189_Patient1_0DPHBP,12.522906,-1.146199,Macrophage
191_Patient1_0DPHBP,12.155196,-1.4566584,Macrophage
193_Patient1_0DPHBP,9.291829,-2.736161,Macrophage
201_Patient1_0DPHBP,12.648544,-0.91988194,Macrophage
207_Patient1_0DPHBP,12.48598,-1.2765014,Macrophage
210_Patient1_0DPHBP,1.8175946,5.3634796,Macrophage
214_Patient1_0DPHBP,1.3148444,5.009908,Macrophage
216_Patient1_0DPHBP,11.780738,-1.1896272,Macrophage
217_Patient1_0DPHBP,11.58266,0.22323279,Macrophage
219_Patient1_0DPHBP,12.265439,-0.15871212,Macrophage
227_Patient1_0DPHBP,11.028287,0.8322441,Macrophage
242_Patient1_0DPHBP,11.252728,-0.7363022,Macrophage
244_Patient1_0DPHBP,12.331023,-0.67444384,Macrophage
249_Patient1_0DPHBP,12.599507,-0.42124742,Macrophage
252_Patient1_0DPHBP,12.250852,-1.430718,Macrophage
264_Patient1_0DPHBP,10.57095,-0.5112525,Macrophage
281_Patient1_0DPHBP,11.982498,-1.3249824,Macrophage
289_Patient1_0DPHBP,11.836219,-1.6766145,Macrophage
300_Patient1_0DPHBP,10.552657,0.23314033,Macrophage
315_Patient1_0DPHBP,12.064638,0.19138172,Macrophage
343_Patient1_0DPHBP,9.216615,-2.6761076,Macrophage
362_Patient1_0DPHBP,11.265006,-0.42906007,Macrophage
369_Patient1_0DPHBP,11.856415,-1.272875,Macrophage
382_Patient1_0DPHBP,12.101655,1.0668392,Macrophage
384_Patient1_0DPHBP,12.260565,0.32567224,Macrophage
404_Patient1_0DPHBP,12.200612,-1.5049198,Macrophage
430_Patient1_0DPHBP,11.48069,2.9149108,Macrophage
447_Patient1_0DPHBP,11.280891,3.1831622,Macrophage
451_Patient1_0DPHBP,11.467956,2.0202072,Macrophage
474_Patient1_0DPHBP,10.932082,-0.17722343,Macrophage
493_Patient1_0DPHBP,8.723638,-2.0756283,Macrophage
496_Patient1_0DPHBP,10.8994665,0.3922624,Macrophage
