id,umap1,umap2,celltype
1335_Patient1_0DPHBP,6.750964,4.911198,Schwann
1341_Patient1_0DPHBP,6.610877,5.310911,Schwann
1344_Patient1_0DPHBP,6.648189,5.2545123,Schwann
1421_Patient1_0DPHBP,7.639697,4.8418527,Schwann
1425_Patient1_0DPHBP,6.7227597,5.433861,Schwann
1434_Patient1_0DPHBP,6.885247,4.8631363,Schwann
1435_Patient1_0DPHBP,6.664193,5.2309327,Schwann
1437_Patient1_0DPHBP,6.721664,5.2809997,Schwann
1439_Patient1_0DPHBP,7.227201,3.186989,Schwann
1443_Patient1_0DPHBP,6.9357986,4.6175447,Schwann
1445_Patient1_0DPHBP,6.5780478,5.503667,Schwann
1937_Patient1_0DPHBP,6.8220024,5.4448776,Schwann
1943_Patient1_0DPHBP,6.6816697,5.1853905,Schwann
26241_Patient1_0DPHBP,6.4043927,2.9820945,Schwann
26992_Patient1_0DPHBP,2.1752975,1.3111122,Schwann
31854_Patient1_0DPHBP,5.6117425,3.4709487,Schwann
35339_Patient1_0DPHBP,6.6185327,3.470394,Schwann
35884_Patient1_0DPHBP,6.1487246,3.243399,Schwann
38139_Patient1_0DPHBP,6.8958483,3.3219259,Schwann
38690_Patient1_0DPHBP,6.179301,3.8100274,Schwann
40784_Patient1_0DPHBP,2.7342107,3.69008,Schwann
40951_Patient1_0DPHBP,6.1661587,3.2677772,Schwann
56809_Patient1_0DPHBP,6.8274713,2.9535408,Schwann
57510_Patient1_0DPHBP,0.083208665,2.9923956,Schwann
58848_Patient1_0DPHBP,3.1402478,4.595871,Schwann
61924_Patient1_0DPHBP,6.415164,2.9854836,Schwann
61992_Patient1_0DPHBP,6.6037006,3.0560992,Schwann
62417_Patient1_0DPHBP,5.9609427,3.328092,Schwann
66756_Patient1_0DPHBP,6.3422174,3.1654372,Schwann
67132_Patient1_0DPHBP,9.001751,1.0238614,Schwann
68110_Patient1_0DPHBP,6.6834664,4.8151736,Schwann
68802_Patient1_0DPHBP,6.425041,3.0056343,Schwann
70320_Patient1_0DPHBP,6.603513,3.4171333,Schwann
70505_Patient1_0DPHBP,6.4327126,3.3440187,Schwann
74115_Patient1_0DPHBP,6.5394783,5.3757815,Schwann
74116_Patient1_0DPHBP,6.7909164,5.0450997,Schwann
74117_Patient1_0DPHBP,6.58836,5.007204,Schwann
74119_Patient1_0DPHBP,6.8048677,5.39091,Schwann
74120_Patient1_0DPHBP,7.076992,4.8384676,Schwann
74121_Patient1_0DPHBP,6.7595673,5.082975,Schwann
74122_Patient1_0DPHBP,6.820269,4.0830836,Schwann
74123_Patient1_0DPHBP,7.026143,3.969956,Schwann
74124_Patient1_0DPHBP,6.7183747,5.109813,Schwann
