id,umap1,umap2,celltype
8_Patient1_0DPHBP,7.812718,-0.7726647,T
33_Patient1_0DPHBP,7.5258756,-0.7170052,T
49_Patient1_0DPHBP,7.835054,-0.27032256,T
51_Patient1_0DPHBP,7.801387,-0.07195422,T
52_Patient1_0DPHBP,8.581968,0.5357964,T
86_Patient1_0DPHBP,8.503611,-0.0336996,T
112_Patient1_0DPHBP,8.837942,-0.7835211,T
124_Patient1_0DPHBP,9.377887,1.348115,T
126_Patient1_0DPHBP,8.502632,0.72641265,T
127_Patient1_0DPHBP,9.154371,1.1505015,T
139_Patient1_0DPHBP,7.1035085,-1.2238139,T
143_Patient1_0DPHBP,7.437569,-0.68519557,T
144_Patient1_0DPHBP,7.3937616,-0.40629056,T
145_Patient1_0DPHBP,8.175723,0.67131096,T
152_Patient1_0DPHBP,9.16912,-0.7807049,T
168_Patient1_0DPHBP,8.277405,0.463056,T
190_Patient1_0DPHBP,7.8046503,0.035719763,T
194_Patient1_0DPHBP,7.6151075,-1.3242435,T
195_Patient1_0DPHBP,9.327018,-0.8831054,T
197_Patient1_0DPHBP,8.324656,0.45674008,T
198_Patient1_0DPHBP,8.464117,0.6166933,T
199_Patient1_0DPHBP,9.305796,2.15047,T
204_Patient1_0DPHBP,8.488977,0.8331593,T
215_Patient1_0DPHBP,9.464335,1.6795181,T
218_Patient1_0DPHBP,7.4610853,-0.9994632,T
239_Patient1_0DPHBP,10.175055,-0.2554806,T
243_Patient1_0DPHBP,9.440699,0.16951983,T
248_Patient1_0DPHBP,9.415756,0.94334745,T
250_Patient1_0DPHBP,8.47957,0.6243376,T
260_Patient1_0DPHBP,8.992573,-0.4589085,T
261_Patient1_0DPHBP,7.5383763,-1.0356038,T
262_Patient1_0DPHBP,8.282887,-1.0965414,T
263_Patient1_0DPHBP,10.230218,1.8522217,T
265_Patient1_0DPHBP,10.514193,2.1094666,T
280_Patient1_0DPHBP,10.4343195,-0.6458468,T
282_Patient1_0DPHBP,10.305611,-0.24834266,T
283_Patient1_0DPHBP,9.745372,-0.5859705,T
284_Patient1_0DPHBP,7.0962315,-0.6828696,T
285_Patient1_0DPHBP,8.484145,-0.8219219,T
286_Patient1_0DPHBP,8.188024,-0.14798626,T
297_Patient1_0DPHBP,7.795756,0.23807804,T
304_Patient1_0DPHBP,6.9014053,-0.917037,T
308_Patient1_0DPHBP,9.886445,-0.31915593,T
309_Patient1_0DPHBP,7.8504286,-1.165466,T
312_Patient1_0DPHBP,9.152939,-0.46562716,T
313_Patient1_0DPHBP,9.824346,0.480195,T
314_Patient1_0DPHBP,8.144759,-1.0320821,T
316_Patient1_0DPHBP,10.618021,1.6705542,T
324_Patient1_0DPHBP,7.2575626,-0.6298315,T
329_Patient1_0DPHBP,10.413677,1.9841532,T
336_Patient1_0DPHBP,9.118982,0.6380298,T
341_Patient1_0DPHBP,7.354918,-0.7516743,T
342_Patient1_0DPHBP,7.295979,-1.1368963,T
