sample,Endothelial,Fibroblast,Schwann,Neuroblast,Macrophage,B,T
Patient5_PT,18117,42181,41275,71778,33542,282,2441
Patient5_DX,25525,27932,6060,70499,40770,9936,38652
Patient4_PT,8292,8440,8981,35557,9824,73,1886
Patient4_DX,10325,9679,7334,48486,14503,13096,21109
Patient3_PT,3978,6810,300,10023,8659,125,869
Patient3_DX,3460,12925,896,13853,5742,635,462
Patient2_PT,17762,19103,1350,131249,55715,19265,47612
Patient2_DX,9949,12006,1505,608745,55221,6919,39086
Patient1_PT,6257,7323,773,51685,18934,287,4133
Patient1_DX,18094,15255,931,178770,18711,8814,22212
