sample,Endothelial,Fibroblast,Schwann,Neuroblast,Macrophage,B,T
Patient5_PT,0.0864294710327455,0.201229867949011,0.196907678803144,0.34242615067552,0.160016410960995,0.00134531715136249,0.0116451034272192
Patient5_DX,0.116353806740999,0.127325936528485,0.0276240575455614,0.321364427872035,0.18584700101197,0.0452925141539106,0.176192256147036
Patient4_PT,0.113506632171163,0.115532558553379,0.122938140801883,0.48672881332731,0.134477707965449,0.000999274499336098,0.0258168726814778
Patient4_DX,0.0829104165997494,0.0777229948928789,0.0588924934956477,0.389345710339511,0.116460026338611,0.105161725500273,0.169506632833327
Patient3_PT,0.129306982186971,0.22136263164738,0.00975165778182291,0.325802886490703,0.281465349109348,0.00406319074242621,0.028247302041347
Patient3_DX,0.0911173728701972,0.340373423221762,0.0235957127432649,0.364811839991572,0.1512127037632,0.0167224080267558,0.0121665393832459
Patient2_PT,0.0608171035691785,0.0654086887446243,0.0046224011833347,0.449396691045552,0.190768208836661,0.0659633768866244,0.163023529734023
Patient2_DX,0.0135650115689137,0.0163696380436605,0.00205199943825663,0.82999627776846,0.0752913361993152,0.0094337435968755,0.0532919933845174
Patient1_PT,0.0699950778593162,0.0819200823339896,0.00864730624664399,0.578183730087703,0.211808662967603,0.00321057812779667,0.0462345623769464
Patient1_DX,0.0688542431703242,0.0580508168212278,0.00354279321275405,0.6802847933878,0.0712021523134706,0.0335404719411538,0.0845247291532686
