source,neighbor,delta
Endothelial,Endothelial,-0.2560043768268101
Endothelial,Fibroblast,-0.10148444476270901
Endothelial,Schwann,-2.084055216174093
Endothelial,Neuroblast,0.3292708405025899
Endothelial,Macrophage,-0.955789895256917
Endothelial,B,1.006393300153396
Endothelial,T,0.52466557279381
Fibroblast,Endothelial,-0.07507685534232
Fibroblast,Fibroblast,-0.9860885918039299
Fibroblast,Schwann,-0.7605062703364098
Fibroblast,Neuroblast,0.54679770611272
Fibroblast,Macrophage,-0.44405462555299596
Fibroblast,B,0.8588698242439109
Fibroblast,T,0.356656219638712
Schwann,Endothelial,-1.9615089365931249
Schwann,Fibroblast,-0.6109808253520601
Schwann,Schwann,1.6061312842212603
Schwann,Neuroblast,-3.5689837649728586
Schwann,Macrophage,-0.5716734244960819
Schwann,B,-1.8315390618422658
Schwann,T,-1.301490144705971
Neuroblast,Endothelial,0.4718935005846201
Neuroblast,Fibroblast,0.69742979357752
Neuroblast,Schwann,-3.355067884221448
Neuroblast,Neuroblast,0.08802047521447404
Neuroblast,Macrophage,0.24509451668165005
Neuroblast,B,0.4765155349324297
Neuroblast,T,0.870654775684293
Macrophage,Endothelial,-0.884789420492493
Macrophage,Fibroblast,-0.40999072751606397
Macrophage,Schwann,-0.6328442765108164
Macrophage,Neuroblast,0.20389217731823006
Macrophage,Macrophage,-0.8724889726156402
Macrophage,B,-0.50738016337681
Macrophage,T,-0.48661384259269796
B,Endothelial,1.185887154022565
B,Fibroblast,0.9970138701934741
B,Schwann,-1.817068747237522
B,Neuroblast,0.40863548044931974
B,Macrophage,-0.40209724531151797
B,B,1.3435270630069298
B,T,-0.0013347410668200776
T,Endothelial,0.6813178699434871
T,Fibroblast,0.419865710556544
T,Schwann,-1.3379985609500669
T,Neuroblast,0.8270853645252931
T,Macrophage,-0.45026148766458496
T,B,-0.009512618877570045
T,T,-0.21710739127388035
