T_subtype,domain_1,domain_2,n_pairs,wilcoxon_W,p_value,mean_1,mean_2,median_1,median_2,p_value_fdr_bh
Cytotoxic T,Immune-rich,Neuroblast-rich,10,16,0.275390625,0.20241959187743,0.142663475828837,0.110159817351598,0.107120093276331,0.37109375
Cytotoxic T,Immune-rich,Other,10,18,0.65234375,0.20241959187743,0.184814439092567,0.110159817351598,0.117702419531687,0.698939732142857
Cytotoxic T,Neuroblast-rich,Other,10,8,0.048828125,0.142663475828837,0.184814439092567,0.107120093276331,0.117702419531687,0.1025390625
Naive/CM T,Immune-rich,Neuroblast-rich,10,8,0.048828125,0.720757085787278,0.649987204156216,0.822686688948516,0.710403641798662,0.1025390625
Naive/CM T,Immune-rich,Other,10,20,0.8203125,0.720757085787278,0.73385665045183,0.822686688948516,0.817718866499354,0.8203125
Naive/CM T,Neuroblast-rich,Other,10,2,0.005859375,0.649987204156216,0.73385665045183,0.710403641798662,0.817718866499354,0.029296875
Proliferating T,Immune-rich,Neuroblast-rich,10,10,0.1640625,0.0125548883729081,0.0162132755417208,0.00341766137292808,0.00924168337613302,0.24609375
Proliferating T,Immune-rich,Other,10,16,0.49609375,0.0125548883729081,0.0106635394490349,0.00341766137292808,0.00533134414059696,0.572415865384615
Proliferating T,Neuroblast-rich,Other,10,6,0.0546875,0.0162132755417208,0.0106635394490349,0.00924168337613302,0.00533134414059696,0.1025390625
Treg,Immune-rich,Neuroblast-rich,10,0,0.0078125,0.00386396919160956,0.0171283487693137,0.000454301011110955,0.00696356948782877,0.029296875
Treg,Immune-rich,Other,10,7,0.296875,0.00386396919160956,0.00696522047728576,0.000454301011110955,0.00138662575581701,0.37109375
Treg,Neuroblast-rich,Other,10,0,0.0078125,0.0171283487693137,0.00696522047728576,0.00696356948782877,0.00138662575581701,0.029296875
gdT,Immune-rich,Neuroblast-rich,10,5,0.01953125,0.0604044647707732,0.17400769570391,0.00837789868558254,0.145226134128054,0.05859375
gdT,Immune-rich,Other,10,9,0.12890625,0.0604044647707732,0.0637001505292817,0.00837789868558254,0.0371825538947831,0.21484375
gdT,Neuroblast-rich,Other,10,0,0.001953125,0.17400769570391,0.0637001505292817,0.145226134128054,0.0371825538947831,0.029296875
