gene,n_pairs,mean_Immune-rich,mean_Neuroblast-rich,median_delta_Neuro_minus_Immune,wilcoxon_W,p_value,p_value_fdr_bh,stars
CD4,10,2.46260285377502,1.86236155033111,-0.54142165184021,0,0.001953125,0.0247395833333333,*
CD8A,10,2.37063312530517,2.69232130050659,-0.0476646423339843,24,0.76953125,0.860064338235294,
TRGC2,10,2.57683277130126,2.49065780639648,0.0794813632965087,25,0.845703125,0.892686631944444,
CCR7,10,1.7404419183731,1.514328956604,-0.330892324447631,21,0.556640625,0.7421875,
SELL,10,2.52273249626159,2.21369361877441,-0.250809133052825,13,0.16015625,0.304296875,
LEF1,10,2.53419423103332,2.33534598350524,-0.274369955062866,15,0.232421875,0.40145596590909,
TCF7,10,2.68946027755737,2.39244318008422,-0.544000923633575,11,0.10546875,0.22265625,
IL7R,10,3.23566889762878,2.9809296131134,-0.0987645387649536,16,0.275390625,0.43603515625,
MKI67,10,0.627964317798614,0.894214510917663,0.397295475006103,10,0.083984375,0.22265625,
FOS,10,2.01395034790039,1.23666250705719,-0.654101133346557,1,0.00390625,0.0247395833333333,*
IFNG,10,0.285680592060089,0.3577221930027,0.00661901570856571,15,0.42578125,0.622295673076923,
GZMH,10,1.03546738624572,1.30620038509368,0.146368935704231,11,0.10546875,0.22265625,
GZMB,10,0.577979505062103,0.800161659717559,0.0825713202357292,6,0.02734375,0.1298828125,
GZMK,10,1.88420009613037,1.93773877620697,-0.315444231033325,22,0.625,0.7421875,
KLRD1,10,1.63064706325531,1.79045903682708,0.250052362680435,10,0.083984375,0.22265625,
PDCD1,10,0.54469358921051,0.538498222827911,0.00266434252262115,26,0.921875,0.921875,
LAG3,10,1.00748610496521,1.43984222412109,0.231475800275802,1,0.00390625,0.0247395833333333,*
TOX,10,1.33615231513977,1.504607796669,0.149342715740203,10,0.083984375,0.22265625,
TIGIT,10,1.56668889522552,1.52584195137023,-0.172976821660995,22,0.625,0.7421875,
