sample,clone_pair,fraction,n_t_cells,count_positive
Patient1_DX,g Clone 17,0.00202593192868719,22212,45
Patient1_PT,g Clone 17,0.00435518993467215,4133,18
Patient2_DX,g Clone 22,0.00941513585427007,39086,368
Patient2_PT,g Clone 22,0.00281441653364697,47612,134
Patient2_DX,g Clone 2,0.00956864350406795,39086,374
Patient2_PT,g Clone 2,0.00951440813240359,47612,453
Patient2_DX,d Clone 33,0.00961981272066724,39086,376
Patient2_PT,d Clone 33,0.00487272116273208,47612,232
Patient2_DX,b Clone 84,0.0227703013866857,39086,890
Patient2_PT,b Clone 84,0.00233134503906578,47612,111
Patient2_DX,a Clone 7,0.00235378396356751,39086,92
Patient2_PT,a Clone 7,0.0111106443753675,47612,529
Patient2_DX,ab Pair 1,0.0236145934605741,39086,923
Patient2_DX,ab Pair 2,0.0053983523512255,39086,211
Patient2_DX,ab Pair 3,0.000818707465588701,39086,32
Patient2_DX,ab Pair 4,0.000358184516195057,39086,14
Patient2_PT,ab Pair 1,0.0400109216163992,47612,1905
Patient2_PT,ab Pair 2,0.0170335209611022,47612,811
Patient2_PT,ab Pair 3,0.00420062169201041,47612,200
Patient2_PT,ab Pair 4,0.0035915315466689,47612,171
