sample,timepoint,Cytotoxic T,Naive/CM T,Proliferating T,Treg,gdT
Patient1_DX,DX,0.0192688636772915,0.932829101386637,0.00256618044300378,0.00135062128579146,0.0439852332072753
Patient1_PT,PT,0.120735543188966,0.746673118799903,0.0106460198403097,0.0128236148076457,0.109121703363174
Patient3_DX,DX,0.00216450216450216,0.987012987012987,0.0,0.0,0.0108225108225108
Patient3_PT,PT,0.232451093210586,0.705408515535097,0.0218642117376294,0.0,0.0402761795166858
Patient4_DX,DX,0.0218863991662324,0.963759533848121,0.00108958264247477,0.000663224217158558,0.0126012601260126
Patient4_PT,PT,0.14475079533404,0.728525980911983,0.00636267232237539,0.00583244962884411,0.114528101802757
Patient2_DX,DX,0.369160313155605,0.125159903801872,0.00724044414880008,0.00846850534718313,0.489970833546538
Patient2_PT,PT,0.688292867344367,0.108039989918507,0.0207720742669915,0.0485171805427203,0.134377887927413
Patient5_DX,DX,0.0226378971333954,0.953249508434233,0.00538135154713857,0.0016816723584808,0.0170495705267515
Patient5_PT,PT,0.10856206472757,0.820565342072921,0.0364604670217124,0.000819336337566571,0.0335927898402294
